time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
5.200000,0.131478,0.150946,-0.195105,0.202345,-0.283255,0.019288
5.220000,0.130686,0.150411,-0.194608,0.200918,-0.283685,0.018995
5.240000,0.129847,0.149908,-0.194403,0.199594,-0.284213,0.019091
5.260000,0.129339,0.149439,-0.194301,0.198268,-0.284519,0.019487
5.280000,0.129042,0.148879,-0.194331,0.196770,-0.284540,0.020065
5.300000,0.128528,0.148136,-0.194378,0.195585,-0.284725,0.020389
5.320000,0.128033,0.147644,-0.194215,0.194776,-0.285078,0.020370
5.340000,0.127264,0.147072,-0.194161,0.194189,-0.285359,0.020090
5.360000,0.126524,0.146553,-0.193993,0.193648,-0.285321,0.019925
5.380000,0.125729,0.145925,-0.194118,0.192837,-0.285179,0.020030
5.400000,0.124977,0.145404,-0.194099,0.192049,-0.285117,0.019888
5.420000,0.124180,0.144853,-0.194197,0.190927,-0.285157,0.019912
5.440000,0.123619,0.144521,-0.194154,0.189697,-0.285262,0.020453
5.460000,0.123161,0.144117,-0.194287,0.188348,-0.285355,0.020845
5.480000,0.123161,0.143915,-0.193919,0.187345,-0.285643,0.020611
5.500000,0.122798,0.143584,-0.193607,0.186429,-0.286002,0.020696
5.520000,0.122442,0.143408,-0.193104,0.184881,-0.286403,0.021855
5.540000,0.122051,0.143135,-0.192862,0.182124,-0.286744,0.024260
5.560000,0.121518,0.142867,-0.192368,0.178330,-0.286942,0.027136
5.580000,0.120750,0.142713,-0.191732,0.173716,-0.287121,0.029948
5.600000,0.119934,0.142619,-0.191042,0.168879,-0.287432,0.032836
5.620000,0.119288,0.142587,-0.190547,0.163498,-0.287841,0.036019
5.640000,0.118971,0.142523,-0.190148,0.157570,-0.288092,0.039868
5.660000,0.118835,0.142496,-0.189834,0.152008,-0.288167,0.043474
5.680000,0.118772,0.142402,-0.189274,0.147161,-0.287901,0.047375
5.700000,0.118620,0.142310,-0.188532,0.142783,-0.287462,0.051018
5.720000,0.118236,0.142245,-0.187665,0.138798,-0.286885,0.054729
5.740000,0.117754,0.142294,-0.186992,0.135003,-0.286241,0.058390
5.760000,0.117008,0.142373,-0.186252,0.130998,-0.285407,0.063088
5.780000,0.116315,0.142556,-0.185415,0.127669,-0.284897,0.067557
5.800000,0.114322,0.142628,-0.184004,0.125163,-0.284666,0.072709
5.820000,0.111732,0.142945,-0.182068,0.123116,-0.283851,0.078097
5.840000,0.108352,0.143188,-0.180192,0.120632,-0.281670,0.081745
5.860000,0.104900,0.143850,-0.178237,0.116109,-0.278936,0.085526
5.880000,0.102025,0.144772,-0.176366,0.110837,-0.276253,0.090835
5.900000,0.100032,0.146444,-0.174873,0.105840,-0.273691,0.097341
5.920000,0.098623,0.148252,-0.173761,0.101864,-0.271162,0.103861
5.940000,0.098166,0.150100,-0.173167,0.099067,-0.268783,0.109086
5.960000,0.097192,0.152651,-0.172283,0.096842,-0.265805,0.114113
5.980000,0.097007,0.155680,-0.171464,0.094838,-0.263113,0.117949
6.000000,0.097450,0.159076,-0.170527,0.093211,-0.261190,0.121037
6.020000,0.098175,0.162522,-0.169462,0.091750,-0.260295,0.124382
6.040000,0.098356,0.165606,-0.167989,0.092101,-0.260811,0.127569
6.060000,0.098568,0.167499,-0.167014,0.094440,-0.262739,0.130752
6.080000,0.098776,0.168248,-0.166116,0.098713,-0.265901,0.133488
6.100000,0.099288,0.166953,-0.166169,0.103372,-0.269123,0.136610
6.120000,0.098902,0.164381,-0.166861,0.108187,-0.271580,0.139608
6.140000,0.098415,0.161865,-0.167181,0.111242,-0.272959,0.142167
6.160000,0.097394,0.159619,-0.167044,0.113912,-0.273100,0.144829
6.180000,0.097252,0.157762,-0.166305,0.113402,-0.272283,0.146214
6.200000,0.096541,0.155866,-0.165016,0.112183,-0.271286,0.146231
6.220000,0.096267,0.154497,-0.162732,0.110441,-0.271615,0.144491
6.240000,0.095598,0.152978,-0.160208,0.110748,-0.272912,0.142471
6.260000,0.095705,0.151039,-0.157405,0.112240,-0.275518,0.140519
6.280000,0.095855,0.149045,-0.154283,0.114619,-0.278639,0.139339
6.300000,0.095466,0.146773,-0.151304,0.118110,-0.281259,0.139383
6.320000,0.095480,0.144492,-0.148809,0.120491,-0.283311,0.139939
6.340000,0.095044,0.142124,-0.146387,0.122646,-0.284737,0.140626
6.360000,0.095180,0.140147,-0.143979,0.123320,-0.285838,0.140675
6.380000,0.094962,0.138192,-0.141982,0.123383,-0.286265,0.140257
6.400000,0.095247,0.136719,-0.139858,0.122386,-0.286487,0.140189
6.420000,0.095220,0.135457,-0.137777,0.121360,-0.286613,0.140539
6.440000,0.095464,0.134972,-0.135649,0.121558,-0.287111,0.140962
6.460000,0.095357,0.134231,-0.133860,0.122773,-0.287991,0.141000
6.480000,0.095269,0.133979,-0.132205,0.124464,-0.289036,0.140651
6.500000,0.095087,0.133963,-0.130864,0.125682,-0.289597,0.140676
6.520000,0.095117,0.134181,-0.129781,0.126242,-0.289684,0.140997
6.540000,0.095277,0.134016,-0.129367,0.127071,-0.289578,0.141161
6.560000,0.095537,0.133722,-0.129154,0.128350,-0.289827,0.140715
6.580000,0.095329,0.133196,-0.129255,0.130033,-0.290214,0.140125
6.600000,0.095014,0.133146,-0.129465,0.131391,-0.290581,0.139488
6.620000,0.094867,0.133060,-0.129954,0.132430,-0.290641,0.139078
6.640000,0.094811,0.133115,-0.130336,0.132872,-0.290563,0.138802
6.660000,0.094795,0.133310,-0.130603,0.133278,-0.290748,0.137965
6.680000,0.094777,0.133583,-0.130912,0.134019,-0.291125,0.136923
6.700000,0.094861,0.133942,-0.130981,0.134582,-0.291627,0.135727
6.720000,0.094845,0.134317,-0.131183,0.135387,-0.291912,0.135014
6.740000,0.094916,0.134926,-0.131335,0.136628,-0.292305,0.133937
6.760000,0.094734,0.135175,-0.131791,0.138410,-0.292571,0.133256
6.780000,0.094531,0.135327,-0.131896,0.139926,-0.293118,0.132279
6.800000,0.094395,0.135321,-0.131911,0.141079,-0.293657,0.131565
6.820000,0.094433,0.135510,-0.131613,0.142351,-0.294472,0.130071
6.840000,0.094424,0.135482,-0.131596,0.144279,-0.295311,0.128553
6.860000,0.094379,0.135302,-0.131392,0.146852,-0.296362,0.126810
6.880000,0.094209,0.134831,-0.131185,0.149747,-0.297508,0.125402
6.900000,0.094174,0.134485,-0.130684,0.151747,-0.298535,0.124297
6.920000,0.094045,0.134076,-0.130320,0.153114,-0.299214,0.123650
6.940000,0.094014,0.133777,-0.129856,0.153979,-0.299854,0.122695
6.960000,0.093855,0.133274,-0.129638,0.155068,-0.300519,0.121684
6.980000,0.093717,0.132636,-0.129237,0.156595,-0.301570,0.120294
7.000000,0.093449,0.131983,-0.128642,0.158684,-0.302735,0.119194
7.020000,0.093262,0.131627,-0.127930,0.160002,-0.303670,0.118406
7.040000,0.093084,0.131373,-0.127513,0.160803,-0.304157,0.118405
7.060000,0.092984,0.131059,-0.127400,0.161330,-0.304502,0.117991
7.080000,0.092896,0.130621,-0.127408,0.161841,-0.304778,0.117588
7.100000,0.092696,0.130092,-0.127200,0.162321,-0.305154,0.117006
7.120000,0.092474,0.129748,-0.126811,0.162788,-0.305679,0.116229
7.140000,0.092186,0.129466,-0.126631,0.163599,-0.306114,0.115301
7.160000,0.092087,0.129277,-0.126744,0.164582,-0.306358,0.114742
7.180000,0.091862,0.128826,-0.126944,0.165770,-0.306580,0.114382
7.200000,0.091652,0.128448,-0.126841,0.166656,-0.306955,0.113773
7.220000,0.091432,0.128074,-0.126749,0.166681,-0.307130,0.113233
7.240000,0.091233,0.127896,-0.126660,0.166114,-0.307182,0.112452
7.260000,0.090832,0.127659,-0.126900,0.165882,-0.307279,0.111883
7.280000,0.090416,0.127363,-0.126907,0.166396,-0.307470,0.111573
7.300000,0.089753,0.126784,-0.126859,0.167650,-0.307786,0.111143
